#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                  | delivered(/pb) | recorded(/pb) |
| 259820:4528 | 10/23/15 05:28:06 | 158  | HLT_Dimuon0_Jpsi_Muon_v2                 | 13.024         | 12.560        |
| 259821:4528 | 10/23/15 06:36:07 | 210  | HLT_Dimuon0_Jpsi_Muon_v2                 | 16.688         | 16.180        |
| 259822:4528 | 10/23/15 08:06:27 | 463  | HLT_Dimuon0_Jpsi_Muon_v2                 | 33.616         | 32.870        |
| 259861:4530 | 10/23/15 22:04:22 | 154  | HLT_Dimuon0_Jpsi_Muon_v2                 | 14.344         | 13.912        |
| 259862:4530 | 10/23/15 23:06:58 | 532  | HLT_Dimuon0_Jpsi_Muon_v2                 | 47.446         | 46.033        |
| 259884:4532 | 10/24/15 16:31:58 | 80   | HLT_Dimuon0_Jpsi_Muon_v2                 | 7.143          | 6.731         |
| 259890:4532 | 10/24/15 17:20:01 | 109  | HLT_Dimuon0_Jpsi_Muon_v2                 | 10.286         | 9.883         |
| 259891:4532 | 10/24/15 18:06:49 | 108  | HLT_Dimuon0_Jpsi_Muon_v2                 | 10.000         | 9.603         |
| 260373:4555 | 10/30/15 10:18:37 | 362  | HLT_Dimuon0_Jpsi_Muon_v2                 | 11.214         | 10.981        |
| 260424:4557 | 10/30/15 18:40:06 | 670  | HLT_Dimuon0_Jpsi_Muon_v2                 | 69.459         | 67.105        |
| 260425:4557 | 10/30/15 23:06:36 | 287  | HLT_Dimuon0_Jpsi_Muon_v2                 | 27.676         | 26.829        |
| 260426:4557 | 10/31/15 01:02:23 | 504  | HLT_Dimuon0_Jpsi_Muon_v2                 | 45.561         | 44.375        |
| 260427:4557 | 10/31/15 04:25:46 | 285  | HLT_Dimuon0_Jpsi_Muon_v2                 | 23.749         | 22.994        |
| 260431:4557 | 10/31/15 06:31:22 | 447  | HLT_Dimuon0_Jpsi_Muon_v2                 | 36.098         | 35.127        |
| 260528:4560 | 11/01/15 04:10:17 | 25   | HLT_Dimuon0_Jpsi_Muon_v2                 | 0.026          | 0.025         |
| 260532:4560 | 11/01/15 04:25:51 | 746  | HLT_Dimuon0_Jpsi_Muon_v2                 | 71.567         | 69.528        |
| 260533:4560 | 11/01/15 09:24:23 | 14   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.271          | 1.195         |
| 260534:4560 | 11/01/15 09:34:18 | 375  | HLT_Dimuon0_Jpsi_Muon_v2                 | 33.012         | 32.044        |
| 260536:4560 | 11/01/15 12:11:50 | 185  | HLT_Dimuon0_Jpsi_Muon_v2                 | 15.534         | 15.129        |
| 260538:4560 | 11/01/15 13:29:58 | 284  | HLT_Dimuon0_Jpsi_Muon_v2                 | 23.008         | 22.369        |
| 260541:4560 | 11/01/15 15:25:55 | 24   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.903          | 1.830         |
| 260575:4562 | 11/01/15 21:37:56 | 20   | HLT_Dimuon0_Jpsi_Muon_v2                 | 1.922          | 1.722         |
| 260576:4562 | 11/01/15 21:49:30 | 464  | HLT_Dimuon0_Jpsi_Muon_v2                 | 54.817         | 51.541        |
| 260577:4562 | 11/02/15 00:53:22 | 76   | HLT_Dimuon0_Jpsi_Muon_v2                 | 8.592          | 8.252         |
